11:58:14 | INFO | [default] τ=0.95 λ=1.0 | Epoch  66/100 | Loss: 0.1570 (sup:0.0089 unsup:0.1481) | Val: 62.33% | Test: 59.40% | Mask: 0.529
11:58:24 | INFO | [default] τ=0.95 λ=1.0 | Epoch  67/100 | Loss: 0.1725 (sup:0.0217 unsup:0.1508) | Val: 65.00% | Test: 59.97% | Mask: 0.517
11:58:35 | INFO | [default] τ=0.95 λ=1.0 | Epoch  68/100 | Loss: 0.1528 (sup:0.0146 unsup:0.1382) | Val: 66.67% | Test: 61.37% | Mask: 0.520
11:58:45 | INFO | [default] τ=0.95 λ=1.0 | Epoch  69/100 | Loss: 0.1673 (sup:0.0131 unsup:0.1542) | Val: 63.67% | Test: 60.50% | Mask: 0.554
11:58:55 | INFO | [default] τ=0.95 λ=1.0 | Epoch  70/100 | Loss: 0.1646 (sup:0.0117 unsup:0.1529) | Val: 63.67% | Test: 59.77% | Mask: 0.551
11:59:06 | INFO | [default] τ=0.95 λ=1.0 | Epoch  71/100 | Loss: 0.1660 (sup:0.0119 unsup:0.1541) | Val: 63.33% | Test: 61.53% | Mask: 0.536
11:59:16 | INFO | [default] τ=0.95 λ=1.0 | Epoch  72/100 | Loss: 0.1499 (sup:0.0101 unsup:0.1398) | Val: 63.33% | Test: 61.53% | Mask: 0.527
11:59:27 | INFO | [default] τ=0.95 λ=1.0 | Epoch  73/100 | Loss: 0.1493 (sup:0.0087 unsup:0.1405) | Val: 65.00% | Test: 59.97% | Mask: 0.556
11:59:36 | INFO | [default] τ=0.95 λ=1.0 | Epoch  74/100 | Loss: 0.1610 (sup:0.0133 unsup:0.1477) | Val: 65.33% | Test: 60.90% | Mask: 0.564
11:59:47 | INFO | [default] τ=0.95 λ=1.0 | Epoch  75/100 | Loss: 0.1662 (sup:0.0117 unsup:0.1544) | Val: 64.67% | Test: 60.30% | Mask: 0.553
11:59:57 | INFO | [default] τ=0.95 λ=1.0 | Epoch  76/100 | Loss: 0.1500 (sup:0.0084 unsup:0.1415) | Val: 64.00% | Test: 61.83% | Mask: 0.560
12:00:07 | INFO | [default] τ=0.95 λ=1.0 | Epoch  77/100 | Loss: 0.1321 (sup:0.0106 unsup:0.1215) | Val: 65.67% | Test: 61.87% | Mask: 0.563
12:00:17 | INFO | [default] τ=0.95 λ=1.0 | Epoch  78/100 | Loss: 0.1615 (sup:0.0081 unsup:0.1534) | Val: 64.00% | Test: 61.63% | Mask: 0.573
12:00:27 | INFO | [default] τ=0.95 λ=1.0 | Epoch  79/100 | Loss: 0.1438 (sup:0.0079 unsup:0.1359) | Val: 65.00% | Test: 62.43% | Mask: 0.558
12:00:38 | INFO | [default] τ=0.95 λ=1.0 | Epoch  80/100 | Loss: 0.1454 (sup:0.0063 unsup:0.1391) | Val: 66.67% | Test: 61.80% | Mask: 0.556
12:00:48 | INFO | [default] τ=0.95 λ=1.0 | Epoch  81/100 | Loss: 0.1536 (sup:0.0082 unsup:0.1454) | Val: 65.33% | Test: 61.47% | Mask: 0.559
12:00:58 | INFO | [default] τ=0.95 λ=1.0 | Epoch  82/100 | Loss: 0.1509 (sup:0.0054 unsup:0.1455) | Val: 63.33% | Test: 61.97% | Mask: 0.569
12:01:09 | INFO | [default] τ=0.95 λ=1.0 | Epoch  83/100 | Loss: 0.1510 (sup:0.0062 unsup:0.1448) | Val: 65.00% | Test: 62.10% | Mask: 0.567
12:01:19 | INFO | [default] τ=0.95 λ=1.0 | Epoch  84/100 | Loss: 0.1449 (sup:0.0069 unsup:0.1381) | Val: 64.33% | Test: 61.97% | Mask: 0.569
12:01:29 | INFO | [default] τ=0.95 λ=1.0 | Epoch  85/100 | Loss: 0.1468 (sup:0.0074 unsup:0.1395) | Val: 64.67% | Test: 62.10% | Mask: 0.563
12:01:39 | INFO | [default] τ=0.95 λ=1.0 | Epoch  86/100 | Loss: 0.1328 (sup:0.0070 unsup:0.1259) | Val: 65.00% | Test: 62.77% | Mask: 0.581
12:01:49 | INFO | [default] τ=0.95 λ=1.0 | Epoch  87/100 | Loss: 0.1483 (sup:0.0045 unsup:0.1437) | Val: 64.67% | Test: 62.27% | Mask: 0.585
12:02:00 | INFO | [default] τ=0.95 λ=1.0 | Epoch  88/100 | Loss: 0.1363 (sup:0.0052 unsup:0.1311) | Val: 63.00% | Test: 62.33% | Mask: 0.579
12:02:10 | INFO | [default] τ=0.95 λ=1.0 | Epoch  89/100 | Loss: 0.1541 (sup:0.0086 unsup:0.1454) | Val: 64.00% | Test: 62.00% | Mask: 0.578
12:02:20 | INFO | [default] τ=0.95 λ=1.0 | Epoch  90/100 | Loss: 0.1390 (sup:0.0058 unsup:0.1332) | Val: 64.33% | Test: 61.93% | Mask: 0.580
12:02:31 | INFO | [default] τ=0.95 λ=1.0 | Epoch  91/100 | Loss: 0.1387 (sup:0.0056 unsup:0.1331) | Val: 63.67% | Test: 61.70% | Mask: 0.580
12:02:41 | INFO | [default] τ=0.95 λ=1.0 | Epoch  92/100 | Loss: 0.1423 (sup:0.0053 unsup:0.1370) | Val: 64.00% | Test: 61.53% | Mask: 0.577
