train_loss,train_acc,val_acc,test_acc,lr
0.3563408946990967,87.0,55.333333333333336,53.4,0.011727851379051867
0.39384334087371825,85.33333333333333,56.0,52.93333333333333,0.011269651692527178
0.3356134217977524,86.0,55.666666666666664,51.0,0.010815133409411563
0.35348575909932456,88.0,53.666666666666664,52.1,0.010364745084375794
0.3028771976629893,87.66666666666667,55.666666666666664,52.06666666666667,0.00991893119632063
0.2894310090939204,90.33333333333333,58.0,54.36666666666667,0.009478131709729836
0.22771416028340657,91.0,57.0,54.3,0.00904278164047829
0.1914372456073761,93.0,58.0,56.63333333333333,0.00861331062652391
0.18098939299583436,93.0,58.666666666666664,53.733333333333334,0.0081901425039068
0.1547512185573578,95.33333333333333,56.333333333333336,53.5,0.007773694888474269
0.1607346765200297,95.66666666666667,57.0,51.9,0.007364378763744431
0.2351802166302999,92.0,56.666666666666664,53.233333333333334,0.006962598075315048
0.15541252255439758,94.0,53.333333333333336,53.7,0.006568749332218041
0.22227568328380584,93.0,58.666666666666664,52.1,0.006183221215612906
0.11644444833199183,96.33333333333333,61.333333333333336,55.2,0.005806394195205352
0.11964731961488724,96.33333333333333,58.0,54.766666666666666,0.005438640153769655
0.12810338238875071,96.0,56.333333333333336,54.1,0.005080322020145226
0.09015088190635046,96.66666666666667,57.666666666666664,55.0,0.00473179341106967
0.08898812512556711,96.33333333333333,58.333333333333336,53.36666666666667,0.0043933982822017895
0.06781743437051774,98.66666666666667,56.333333333333336,54.43333333333333,0.004065470588678831
0.05351819187402725,98.66666666666667,57.666666666666664,56.9,0.003748333955543107
0.06305261890093486,98.0,58.333333333333336,55.766666666666666,0.003442301358363164
0.06300104280312856,98.0,58.666666666666664,55.06666666666667,0.0031476748143646448
0.03827061673005422,98.33333333333333,60.0,56.266666666666666,0.0028647450843757908
0.027378797853986423,99.66666666666667,60.0,56.233333333333334,0.002593791385881575
0.11636606593926747,97.0,58.333333333333336,54.7,0.002335081117469778
0.031238825966914494,99.66666666666667,60.666666666666664,57.03333333333333,0.0020888695949408446
0.049409040361642835,98.66666666666667,58.0,56.733333333333334,0.0018553997993420472
0.03709509717921416,99.0,60.666666666666664,55.8,0.001634902137174484
0.022925777137279512,99.66666666666667,62.0,55.666666666666664,0.0014275942130097103
0.026863927493492763,99.66666666666667,61.333333333333336,56.266666666666666,0.0012336806147402867
0.0290118141969045,99.33333333333333,62.333333333333336,56.833333333333336,0.0010533527116762301
0.02606476510564486,99.66666666666667,60.666666666666664,57.166666666666664,0.0008867884656866185
0.017094465146462123,99.33333333333333,61.666666666666664,56.7,0.0007341522555726973
0.01907666544119517,99.66666666666667,62.0,56.266666666666666,0.0005955947148458559
0.02198039506872495,99.66666666666667,61.666666666666664,55.86666666666667,0.00047125258307053567
0.022628300040960312,99.66666666666667,61.0,55.4,0.00036124857091879027
0.029628419876098634,99.33333333333333,60.333333333333336,55.36666666666667,0.0002656912390696693
0.0325634844104449,99.33333333333333,61.0,55.4,0.0001846748910729352
0.01995678232361873,99.66666666666667,61.333333333333336,55.666666666666664,0.00011827948028283359
0.016994061196843782,100.0,61.666666666666664,55.766666666666666,6.657053095380009e-05
0.02180581693847974,99.66666666666667,62.333333333333336,55.833333333333336,2.959907357592663e-05
0.02011727267255386,100.0,62.333333333333336,55.833333333333336,7.401594514026003e-06
0.030720591321587564,99.0,62.0,55.833333333333336,0.0
